Detail of Gifts,Item Category,Name of Recipient,Affiliation,Date,Assessed Value,Retention Cost,Retained,Remarks
"One  album  of
religious  and
historical places",,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen. Musharraf,11/7/2003,0,0,Yes,Yes
"Five  packets  of
Tabaruk",,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen. Musharraf,11/7/2003,0,0,Yes,Yes
"Packet  of
pistachio",,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen. Musharraf,11/7/2003,0,0,Yes,Yes
"One  Wrist  Watch
(Samsung)",Watch,"Syed  Afzal  Hussain
Shah,  Protocol
Officer  (V-II),
Foreign Affairs",Military,11/11/2003,1200,0,Yes,Yes
"One  Wrist  Watch
(Samsung)",Watch,"Mr.  Salman  Bashir,
Additional  Secretary
(AP), Foreign Affairs",Bureaucracy,11/11/2003,1200,0,Yes,Yes
VCD Player,,"Dr.  Abdul  Hafeez
Shaikh,  Minister  for
Privatization",Gen. Musharraf,11/13/2003,2000,0,Yes,Yes
"One  Wrist  Watch
(Samsung)",Watch,"Dr.  Abdul  Hafeez,
Shaikh,  Minister  for
Privatisation",Gen. Musharraf,11/13/2003,1200,0,Yes,Yes
"One  VCD  MP3  CD
No. 03151898",,"Mr.  Shaukat  Aziz,
Finance Minister",Gen. Musharraf,11/14/2003,2500,0,Yes,Yes
"One  Wrist  Watch
(Samsung)",Watch,"Mr.  Shaukat  Aziz,
Finance Minister",Gen. Musharraf,11/14/2003,1200,0,Yes,Yes
One Ball Point,,"Mr.  Shaukat  Aziz,
Finance Minister",Gen. Musharraf,11/14/2003,1000,0,Yes,Yes
"One  jewelry  box
containing
Jewellery",,"First  lady,  wife  of
General  Parvez
Musharraf, President
of Pakistan",Military,11/18/2003,0,0,Yes,Yes
Decoration piece,Decoration Pieces,"General  Parvez
Musharraf, President
of Pakistan",Military,11/18/2003,1000,0,Yes,Yes
"One  Wrist  Watch
(Samsung)",Watch,Foreign Secretary,Bureaucracy,11/18/2003,1200,0,Yes,Yes
"One  VCD  Player
(Portable)",,Foreign Secretary,Bureaucracy,11/18/2003,2500,0,Yes,Yes
One Laptop,,"Mr.  Zia-ul-Islam,
Joint  Secretary,
Ministry of Interior",Bureaucracy,11/21/2003,100000,13500,Yes,Yes
One souvenir,,"Chairman  National
Tariff Commission",Bureaucracy,11/22/2003,0,0,"Displayed at
Chairman
National Tariff
Commission
office","Displayed at
Chairman
National Tariff
Commission
office"
One incense bowl,,"General  Parvez
Musharraf, President
of Pakistan",Military,12/2/2003,0,0,Yes,Yes
"One  decoration
piece",Decoration Pieces,"Mr.  Shaukat  Aziz,
Finance Minister",Gen. Musharraf,12/3/2003,3500,0,Yes,Yes
"One  Wrist  Watch
(Samsung)",Watch,"Major  General
Nadeem  Taj,
Military  Secretary  to
President",Military,12/5/2003,1200,0,Yes,Yes
"One  Wrist  Watch
(Samsung)",Watch,"Mrs.  Major  General,
Nadeem  Taj,
Military  Secretary  to
President",Military,12/5/2003,1200,0,Yes,Yes
"One  Wrist  Watch
(Samsung)",Watch,"Lt.  Col.  Asim
Saleem,  Deputy
Military  Secretary  to
President",Military,12/5/2003,1200,0,Yes,Yes
One scenery,,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen. Musharraf,12/6/2003,8500,0,Yes,Yes
Wall mirror,,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen. Musharraf,12/6/2003,7000,0,Yes,Yes
"Three  cups  with
saucer",,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen. Musharraf,12/15/2003,1000,0,Yes,Yes
One insignia,,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen. Musharraf,12/15/2003,0,0,Yes,Yes
,,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen. Musharraf,12/15/2003,0,0,,
,,"Mr.  Shaukat  Aziz,
Finance Minister",Gen. Musharraf,12/16/2003,0,0,,
,,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen. Musharraf,12/19/2003,0,0,,
,,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen. Musharraf,12/19/2003,0,0,,
,,"Mir  Zafarullah  Khan
Jamali,  Prime
Minister of Pakistan",Gen. Musharraf,12/19/2003,0,0,,
,,"Mr.  Waqar  Masood
Khan,  Secretary,
Economic Affairs",Bureaucracy,12/23/2003,0,0,,
"One  Porcelain
decoration  piece
(Flower Vase)",Decoration Pieces,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,1/7/2004,1000,0,Yes,Yes
"Silver  decoration
piece (Room)",Decoration Pieces,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,1/7/2004,6500,0,Yes,Yes
"Ladies  Banarsi  (Silk)
Sari",,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,1/7/2004,3000,0,Yes,Yes
One Small Dagger,,"Syed  Afzal  Hussain  Shah,
Protocol  Officer  (V-II),
Foreign Affairs",Military,1/12/2004,500,0,Yes,Yes
"a. One Shirt
b. One Tie",,"Syed  Afzal  Hussain  Shah,
Protocol  Officer  (V-II),
Foreign Affairs",Military,1/12/2004,650,0,Yes,Yes
One Shirt,,"Col.  Salik  Nawaz  (Retd),
Deputy  Chief  of  Protocol,
Foreign Affairs",Military,1/12/2004,500,0,Yes,Yes
"a. One necklace
b. One  decoration
piece",Jewellery/Accessories,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,1/13/2004,9500,0,Yes,Yes
"a. One tin of tea
b. One carpet",Crockery,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,1/13/2004,5000,0,Yes,Yes
"a. One mat
b. Tuna Fish
c. One diary+ book",,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,1/13/2004,7600,0,Yes,Yes
"a. One Saree Silk
b. One silver box",,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,1/13/2004,24500,2175,Yes,Yes
"One  wooden
decoration piece",Decoration Pieces,"Brig.  Tahir  Mahmud
Malik,  Military  Secretary
to the Prime Minister",Military,1/13/2004,450,0,Yes,Yes
One Rug,,"General  Parvez
Musharraf,  President  of Pakistan",Military,1/15/2004,2500,0,Yes,Yes
Table set (marble),,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,1/15/2004,22000,1800,Yes,Yes
One small carpet,Carpet,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,1/15/2004,12000,300,Yes,Yes
One Carpet,Carpet,"Brig.  Tahir  Mahmud
Malik,  Military  Secretary
to the Prime Minister",Military,1/20/2004,4000,0,Yes,Yes
One Flower Vase,Decoration Pieces,"Lt.  Cdr.  Ahmad  Farooq
Butt,  ADC  to  the  Prime
Minister",Military,1/20/2004,1200,0,Yes,Yes
One Carpet,Carpet,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,1/21/2004,5000,0,Yes,Yes
"One  pot  (decoration
piece)",Decoration Pieces,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,1/21/2004,1500,0,Yes,Yes
Rolex Wrist watch,Watch,"Aijaz  Ahmed  Chaudhary,
MNA",Gen. Musharraf,1/26/2004,335000,48750,Yes,Yes
"a. Gold  set
consisting  of  one
gold  necklace,
one  gold  ring,
pair of ear ring
b. Nokia Mobile set",,"Aijaz  Ahmed  Chaudhary,
MNA",Gen. Musharraf,1/26/2004,82469,10870,Yes,Yes
"a. One  metal
decoration piece
b. One saree",Clothes,"General  Parvez
Musharraf,  President  of
Pakistan",Military,1/27/2004,2850,0,Yes,Yes
One carpet,Carpet,"General  Parvez
Musharraf,  President  of
Pakistan",Military,1/27/2004,3000,0,Yes,Yes
"One  wooden  Flower
vase",Decoration Pieces,"General  Parvez
Musharraf,  President  of
Pakistan",Military,1/27/2004,8500,0,Yes,Yes
"a. One metal vase
b. Two silk Saree",Decoration Pieces,"General  Parvez
Musharraf,  President  ofPakistan",Military,1/27/2004,91700,12255,Yes,Yes
"a. One  Gem
Studded Elephant
b. One Saree",,"General  Parvez
Musharraf,  President  of
Pakistan",Military,1/27/2004,6000,0,Yes,Yes
"Three  packet  set
(Leather)",,"General  Parvez
Musharraf,  President  of
Pakistan",Military,1/27/2004,0,0,Yes,Yes
One decoration box,Decoration Pieces,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,1/29/2004,550,0,Yes,Yes
"One  looking  glass
with silver",,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,1/29/2004,800,0,Yes,Yes
"Large box containing
a  picture  in  a  glass
frame",,"General  Parvez
Musharraf,  President  of
Pakistan",Military,1/31/2004,10000,0,Yes,Yes
"a. Two pens
b. One wrist watch
c. One  Ebel  ladies
wrist watch
d. One  decoration
piece
e. One Tasbeeh",Watch,"General  Parvez
Musharraf,  President  of
Pakistan",Military,1/31/2004,783250,115988,Yes,Yes
"One  silver
decoration piece",Decoration Pieces,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,1/31/2004,2163,0,Yes,Yes
"One  concord  wrist
watch",Watch,"Mr.  M.  Arshad  Saleem,
News Reporter PTV",Media,2/17/2004,15000,750,Yes,Yes
"One  concord  wrist
watch",Watch,"Faqir  Ahmed  Controller
news PBC",Media,2/21/2004,15000,750,Yes,Yes
"One
Metallic/Ceramic
Plate",,"Col.  Salik  Nawaz,  Deputy
Chief  of  Protocol,  Foreign
Affairs.",Military,2/23/2004,1500,0,Yes,Yes
One gents shirt,,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,2/24/2004,450,0,Yes,Yes
One decoration piece,Decoration Pieces,"Mr. Shaukat Aziz, FinanceMinister",Gen. Musharraf,2/24/2004,4500,0,Yes,Yes
"One  Wrist  Watch
Concord",Watch,"Mr. Arif Mahmud, Director
(Gulf  Region),  Foreign
Affairs",Bureaucracy,2/25/2004,45000,5250,Yes,Yes
"One
Metallic/Ceramic
Plate",,"Brig. ®Mian Khalid Habib,
Chief  of  Protocol,  Foreign
Affairs",Military,2/28/2004,1500,0,Yes,Yes
"Wrist  Watch
(Concord)",Watch,"Mr.  Masood  Akhtar,
Deputy  Chief  of  Protocol,
Foreign Affairs",Military,3/3/2004,75000,9750,Yes,Yes
One decoration bowl,Decoration Pieces,"Mr. Nawid Ahsan, Finance
Secretary",Bureaucracy,3/4/2004,1800,0,Yes,Yes
One Ash Tray,,"Mir  Zafarullah Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,3/5/2004,1500,0,Yes,Yes
Fruit Bowl,,"Waqar  Mehsood  Khan,
Secretary,  Economic
Affairs Division",Bureaucracy,3/8/2004,2200,0,Yes,Yes
One Flower Vase,Decoration Pieces,"Col.  Salik  Nawaz,  Deputy
Chief  of  Protocol,  Foreign
Affairs.",Military,3/9/2004,1200,0,Yes,Yes
"One  Jewellery
box containing: -
a. One necklace
b. One bracelet
c. One  pair  of  ear
ring
d. One ring
e. One  model  of
Hajr-e-Aswad",,"General  Parvez
Musharraf,  President  of
Pakistan",Military,3/10/2004,4740080,709512,Yes,Yes
One Dagger,,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,3/10/2004,18875,1331,Yes,Yes
"Two  bookplate,  one
book and Insignia",,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,3/10/2004,0,0,Yes,Yes
One  dinner  Set  45,,Mir  Zafarullah  Khan,Gen. Musharraf,3/10/2004,5500,0,Yes,Yes
"a. One Flower vase
b. One ladies suit",Decoration Pieces,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,3/10/2004,9500,0,Yes,Yes
Replica of Boat,,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,3/10/2004,9000,0,Yes,Yes
One Flower Vase,Decoration Pieces,"Brig. ®Mian Khalid Habib,
Chief  of  Protocol,  Foreign
Affairs",Military,3/10/2004,1200,0,Yes,Yes
"a. One  wrist  watch
Bvlgari
b. One  wrist  watch
Bvlgari",Watch,"Brig.  Mian  Khalid  Habib,
Chief Protocol",Military,3/10/2004,75000,9750,Yes,Yes
"One  concord  wrist
watch Bvlgari",Watch,"Syed Afzal Shah,  Protocol
Officer, Foreign Affairs",Military,3/10/2004,15000,750,Yes,Yes
"One  concord  wrist
watch Bvlgari",Watch,"Mr. Abdul Shaifq, Director
General  (Imp),  President
Sectt.",Military,3/10/2004,15000,750,Yes,Yes
"a. One  wrist  watch,
Bvlgari
b. One  wrist  watch,
Bvlgari",Watch,"Mr.  Khurshid  Mahmud
Kasuri, Foreign Minister",Gen. Musharraf,3/11/2004,55000,6750,Yes,Yes
"a. One  wrist watch
Bvlgari
b. One  wrist  watch
Bvlgari",Watch,"Shaikh  Rashid  Ahmed,
Minister for Information &
Broadcasting",Bureaucracy,3/11/2004,85000,11250,Yes,Yes
"One  wrist  watch
Christian Dior",Watch,"Mr.  Shafkat  Saeed,
Additional  Secretary
(Foreign Affairs)",Bureaucracy,3/11/2004,20000,1500,Yes,Yes
"One  Water  Man
(Pen)",Pen,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,3/16/2004,1400,0,Yes,Yes
"One decoration piece
(flower vase)",Decoration Pieces,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,3/16/2004,3000,0,Yes,Yes
One stone sculpture,,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,3/16/2004,0,0,Yes,Yes
"One Calligraphy duly
framed",,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,3/21/2004,5500,0,Yes,Yes
One Replica of Horse,,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,3/21/2004,5000,0,Yes,Yes
"Crystal  decoration
piece",Decoration Pieces,"General  Parvez
Musharraf,  President  of
Pakistan",Military,3/24/2004,4500,0,Yes,Yes
One flower vase,Decoration Pieces,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,3/24/2004,4000,0,Yes,Yes
One Ceramic plate,,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,3/24/2004,0,0,Yes,Yes
One pocket pen,Pen,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,4/2/2004,2000,0,Yes,Yes
One framed picture,,"Brig. ®Mian Khalid Habib,
Chief  of Protocol,  Foreign
Affairs",Military,4/3/2004,3500,0,Yes,Yes
Two flower vases,Decoration Pieces,"General  Parvez
Musharraf,  President  of
Pakistan",Military,4/5/2004,4500,0,Yes,Yes
"One  Ewer  (Yellow  &
Brown glaze)",,"Mir  Zafarullah  Khan
Jamali,  Prime Minister  of
Pakistan",Gen. Musharraf,4/12/2004,5000,0,Yes,Yes
Four Bed Sheets,,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,4/12/2004,2200,0,Yes,Yes
"One  Mobile  Set
(Pocket  PC)  (with
accessories)",,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,4/12/2004,44000,5100,Yes,Yes
"Crystal  Cigarette
Box",Cigar/Cigarettes,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,4/13/2004,2000,0,Yes,Yes
Crystal Fruit Bowl,,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,4/13/2004,9000,0,Yes,Yes
"One  Scenery  duly
framed",,"Mr.  Faridullah  Khan
Jamali",Gen. Musharraf,4/16/2004,3000,0,Yes,Yes
Shanghai Shawl,,"Waqar  Mehsood  Khan,
Secretary,  Economic
Affairs Division",Bureaucracy,4/16/2004,2000,0,Yes,Yes
"One  wrist  watch
concord",Watch,"Mr.  Ehsanullah,  LDC
President Sectt.",Bureaucracy,4/20/2004,15000,0,Yes,Yes
One Carpet,Carpet,"Mr.  Muhammad  Azam
Rathore,  Additional
Secretary  (IPC),  Cabinet
Division.",Bureaucracy,4/24/2004,8000,0,Yes,Yes
"One  Flower  Vase
(Silver)",Decoration Pieces,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,5/4/2004,5500,0,Yes,Yes
One decoration piece,Decoration Pieces,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,5/4/2004,1500,0,Yes,Yes
One Pen Set,Pen,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,5/4/2004,600,0,Yes,Yes
Model of Ship,,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,5/4/2004,9500,0,Yes,Yes
"One  Silver
decoration piece",Decoration Pieces,"Mir  Zafarullah Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,5/4/2004,8000,0,Yes,Yes
One decoration piece,Decoration Pieces,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,5/4/2004,1000,0,Yes,Yes
"A  Photograph  duly
framed",,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of",Gen. Musharraf,5/4/2004,0,0,Yes,Yes
One decoration piece,Decoration Pieces,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,5/4/2004,2500,0,Yes,Yes
One wall hanging,,"Brig.  Tahir  Mahmud
Malik,  Military  Secretary
to the Prime Minister",Military,5/4/2004,1200,0,Yes,Yes
One Carpet,Carpet,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,5/5/2004,8000,0,Yes,Yes
"Pair  of  Glass  Flower
Vase",Decoration Pieces,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,5/5/2004,500,0,Yes,Yes
Pair of Flower Vases,Decoration Pieces,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,5/5/2004,500,0,Yes,Yes
Pair of flower Vases,Decoration Pieces,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,5/5/2004,0,0,Yes,Yes
"Packet of gift (small)
(wall  hanging  plate)
(silver)",,"Mr.  Wali  Mohammad
Badini Senator",Gen. Musharraf,5/6/2004,1200,0,Auctioned,"Gift auctioned
for Rs.1,310/-"
"A  wall  Hanging
(Metal plate)",,"Dr.  Abdul  Hafeez  Sheikh,
Minister for Privatization",Gen. Musharraf,5/10/2004,1200,0,Yes,Yes
Laptop Acer,,"Mir  Faridullah  Khan
Jamali",Gen. Musharraf,5/10/2004,95000,12750,Yes,Yes
"One wrist watch
Bvlgari",Watch,"Mir  Faridullah  Khan
Jamali",Gen. Musharraf,5/10/2004,62000,7800,Yes,Yes
"One wrist watch
Concord",Watch,"Mir  Faridullah  Khan
Jamali",Gen. Musharraf,5/10/2004,45000,5250,Yes,Yes
"One wrist watch
Omega",Watch,"Mir  Faridullah  Khan
Jamali",Gen. Musharraf,5/10/2004,315000,45750,Yes,Yes
"One  wrist  watch
concord",Watch,"Lt.  Col.  Asim  Saleem
Bajwa,  Deputy  Military
Secretary  to  the  Prime
Minister",Military,5/11/2004,15000,750,Yes,Yes
"One  wrist  watch
concord",Watch,"Mr.  Sanaullah,
Cameraman",Media,5/11/2004,15000,750,Yes,Yes
"One  wrist  watch
concord",Watch,"Mr.  Afzal  Tanveer,
Engineer",Bureaucracy,5/11/2004,15000,750,Yes,Yes
One Silk Carpet,Carpet,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,5/12/2004,8000,0,Yes,Yes
"Pair of Cufflinks with
Tie Pin",,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,5/12/2004,1500,0,Yes,Yes
Onyx flower Vase,Decoration Pieces,"Col.  Salik  Nawaz,  Deputy
Chief  of  Protocol,  Foreign
Affairs",Military,5/18/2004,800,0,Yes,Yes
Gift Pack (Massager),,"Mr.  J.  Bashar,  Secretary,
Board of Investment",Bureaucracy,5/18/2004,3500,0,Yes,Yes
"One  Small  Empty
Box",,"Dr.  Tariq  Hassan,
Chairman  Securities  and
Exchange  Commission  of
Pakistan",Bureaucracy,5/18/2004,400,0,Yes,Yes
One Dagger,,"Waqar  Mehsood  Khan,
Secretary,  Economic
Affairs Division",Bureaucracy,5/20/2004,2000,0,Yes,Yes
A pair of vases,Decoration Pieces,"Dr.  Tariq  Hassan,  Advisor
to Finance Minister",Gen. Musharraf,5/21/2004,500,0,Yes,Yes
One Chess Set,,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,5/25/2004,3200,0,Yes,Yes
"One decoration piece
(silver)",Decoration Pieces,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,5/25/2004,10000,0,Yes,Yes
"One  Silver  Picture
Frame",,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,5/25/2004,800,0,Yes,Yes
"One  Gown
(embroidered)",,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,5/25/2004,3000,0,Yes,Yes
"a. One  Cloth  (table
Mat)
b. One Pair of Stud",,"Dr.  Abdul  Hafeez  Sheikh,
Minister for Privatization",Gen. Musharraf,5/27/2004,17040,1056,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Syed  Afzal  Hussain  Shah,
Protocol  Officer,  Foreign
Affairs",Military,5/29/2004,18000,1200,Yes,Yes
"One decoration piece
(Tankard)",Decoration Pieces,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,5/31/2004,3000,0,Yes,Yes
One Golden Shield,,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,5/31/2004,0,0,Yes,Yes
One woolen carpet,Carpet,"Waqar  Mehsood  Khan,
Secretary,  Economic
Affairs Division",Bureaucracy,5/31/2004,8000,0,Yes,Yes
"One  wrist  watch
Rama (Swiss)",Watch,"Mr.  Shafkat  Saeed,
Additional  Secretary,  M/o
Foreign Affairs",Bureaucracy,5/31/2004,45000,5250,Yes,Yes
"a. Gents wrist watch
(Frank Muller)
b. Ladies  wrist
watch  (Frank
Muller)
c. Leather hand bag",Watch,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,6/1/2004,302500,43875,Yes,Yes
"One  Model  of  Khana
Ka’bah",,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,6/2/2004,50000,6000,Yes,Yes
"a. One  wrist  watch
Bvlgari (gents)
b. One  wrist  watch
Bvlgari (ladies)",Watch,"Mir Abdul Rahman Jamali,
Minister  of  S&GAD,
Government  of
Balochistan",Gen. Musharraf,6/2/2004,107000,14550,Yes,Yes
"One  concord  wrist
watch",Watch,"Mr.  Abdul  Wahid,
photographer,  President",Media,6/3/2004,15000,750,Yes,Yes
"a. Small  flower
basket
b. One tie
c. Agar Batti",,"Waqar  Mehsood  Khan,
Secretary,  Economic
Affairs Division",Bureaucracy,6/3/2004,1050,0,Yes,Yes
"a. One  wrist  watch
Bvlgari (gents)
b. One  wrist  watch
Bvlgari (ladies)",Watch,"Wg.  Cdr.  Waqar  Ahmed,
Deputy  Military  Secretary
to the Prime Minister",Military,6/3/2004,107000,14550,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Major  Gul  Muhammad
Saqib,  OSD  (Admn),
Prime Minister Sectt.",Military,6/3/2004,18000,1200,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Sqd.  Ld.  Anwar  Karim,
ADC to the Prime Minister",Military,6/3/2004,18000,1200,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Dr.  Asif  Irfan,  Medical
Officer,  Prime  Minister
Sectt.",Bureaucracy,6/3/2004,18000,1200,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Mr.  Aurangzeb  Khan,
Comptroller  Household
Prime Minister Sectt.",Bureaucracy,6/3/2004,18000,1200,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Nazir  Ahmed  Saeed,
Protocol  Assistant  Prime
Minister Sectt.",Bureaucracy,6/3/2004,18000,1200,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Inspector, Khalid Nadeem
Khan, Gunman",Police,6/3/2004,18000,1200,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Mr.  Malik  Arshad
Mahmood,  sub.
Inspector,  Gunman,
Prime  Minister’s
Secretariat",Police,6/3/2004,18000,1200,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Mr.  Zafar  Iqbal,  SSG
Gunman Prime  Ministers
Secretariat",Police,6/3/2004,18000,0,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Mr. M. Riaz, Constable",Police,6/3/2004,18000,0,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Munir  Ahmed  Caretaker,
Prime Minister Sectt.",Bureaucracy,6/3/2004,18000,0,Yes,Yes
"One  wrist  watch
Officina Del Tempo",Watch,"Haji  Tora  Khan,  Valet
Prime Minister Sectt.",Bureaucracy,6/3/2004,18000,0,Yes,Yes
"One  Wooden  Flower
Vase",Decoration Pieces,"Mir  Zafarullah  Khan
Jamali,  Prime  Minister  of
Pakistan",Gen. Musharraf,6/5/2004,1800,0,Yes,Yes
"a. One  wrist  watch
Bvlgari
b. One  wrist  watch
Bvlgari",Watch,"Mr.  Awais  Ahmed  Khan,
Leghari,  Minister  of  IT
&Telecom",Gen. Musharraf,6/8/2004,85000,11250,Yes,Yes
"Two  decoration
piece of vases",Decoration Pieces,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,6/9/2004,1000,0,Yes,Yes
One decoration piece,Decoration Pieces,"Mr. Shaukat Aziz, Finance
Minister",Gen. Musharraf,6/9/2004,500,0,Yes,Yes
"One decoration piece
(silver)",Decoration Pieces,"Mir  Zafarullah  Khan
Jamali,  Prime Minister  of
Pakistan",Gen. Musharraf,6/10/2004,3000,0,Yes,Yes
"a. One  wrist  watch
Bvlgari gents
b. One  wrist  watch
Bvlgari ladies",Watch,"Brig  Retd.  Mian  Khalid
Habib,  Chief  protocol,
Foreign Affairs",Military,6/11/2004,107000,14550,Yes,Yes
"a. One  wrist  watch
Bvlgari (gents)
b. One  wrist  watch
Bvlgari (ladies)",Watch,"Mian  Waheeduddin,  PSO
to the Prime Minister",Gen. Musharraf,6/14/2004,107000,14550,Yes,Yes
"A  Waterman  Paris
Pen",Pen,"Brig. ®Mian Khalid Habib,
Chief  of  Protocol,  Foreign
Affairs",Military,6/15/2004,3200,0,Yes,Yes
One woolen carpet,Carpet,"Brig. ®Mian Khalid Habib,
Chief  of  Protocol,  Foreign",Military,6/15/2004,5000,0,Yes,Yes
"One  concord  wrist
watch",Watch,"Admiral  (Retd.)  Abdul
Aziz  Mirza,  Ambassador
of Pakistan",Military,6/21/2004,15000,750,Yes,Yes
"One  wrist  watch
concord",Watch,"Lt.  Col.  M.  Samrez  Salik,
APS(C)",Military,6/23/2004,15000,750,Yes,Yes
"One  wrist  watch
concord",Watch,"Maj.  Sher  Ali  Baz,
Security Officer",Military,6/23/2004,15000,750,Yes,Yes
"One  wrist  watch
concord",Watch,"Maj.  Abdul  Basit,  Staff
Surgeon to Chief of  Army
Staff",Military,6/24/2004,15000,750,Yes,Yes
