,Gift_detail,Item_category,Recipient_name,Affiliation,Date,Assessed_value,Retention_cost,Retained,Remarks
667,One  wrist  watch Officina Del Tempo,Watch,"Mr.  Aurangzeb  Khan, Comptroller  Household Prime Minister Sectt.",Bureaucracy,2004-06-03,18000.0,1200.0,Yes,Yes
668,One  wrist  watch Officina Del Tempo,Watch,"Nazir  Ahmed  Saeed, Protocol  Assistant  Prime Minister Sectt.",Bureaucracy,2004-06-03,18000.0,1200.0,Yes,Yes
669,One  wrist  watch Officina Del Tempo,Watch,"Inspector, Khalid Nadeem Khan, Gunman",Police,2004-06-03,18000.0,1200.0,Yes,Yes
670,One  wrist  watch Officina Del Tempo,Watch,"Mr.  Malik  Arshad Mahmood,  sub. Inspector,  Gunman, Prime  Minister’s Secretariat",Police,2004-06-03,18000.0,1200.0,Yes,Yes
671,One  wrist  watch Officina Del Tempo,Watch,"Mr.  Zafar  Iqbal,  SSG Gunman Prime  Ministers Secretariat",Police,2004-06-03,18000.0,0.0,Yes,Yes
672,One  wrist  watch Officina Del Tempo,Watch,"Mr. M. Riaz, Constable",Police,2004-06-03,18000.0,0.0,Yes,Yes
673,One  wrist  watch Officina Del Tempo,Watch,"Munir  Ahmed  Caretaker, Prime Minister Sectt.",Bureaucracy,2004-06-03,18000.0,0.0,Yes,Yes
674,One  wrist  watch Officina Del Tempo,Watch,"Haji  Tora  Khan,  Valet Prime Minister Sectt.",Bureaucracy,2004-06-03,18000.0,0.0,Yes,Yes
675,One  Wooden  Flower Vase,Decoration Pieces,"Mir  Zafarullah  Khan Jamali,  Prime  Minister  of Pakistan",Gen. Musharraf,2004-06-05,1800.0,0.0,Yes,Yes
676,a. One  wrist  watch Bvlgari b. One  wrist  watch Bvlgari,Watch,"Mr.  Awais  Ahmed  Khan, Leghari,  Minister  of  IT &Telecom",Gen. Musharraf,2004-06-08,85000.0,11250.0,Yes,Yes
677,Two  decoration piece of vases,Decoration Pieces,"Mr. Shaukat Aziz, Finance Minister",Gen. Musharraf,2004-06-09,1000.0,0.0,Yes,Yes
678,One decoration piece,Decoration Pieces,"Mr. Shaukat Aziz, Finance Minister",Gen. Musharraf,2004-06-09,500.0,0.0,Yes,Yes
679,One decoration piece (silver),Decoration Pieces,"Mir  Zafarullah  Khan Jamali,  Prime Minister  of Pakistan",Gen. Musharraf,2004-06-10,3000.0,0.0,Yes,Yes
680,a. One  wrist  watch Bvlgari gents b. One  wrist  watch Bvlgari ladies,Watch,"Brig  Retd.  Mian  Khalid Habib,  Chief  protocol, Foreign Affairs",Military,2004-06-11,107000.0,14550.0,Yes,Yes
681,a. One  wrist  watch Bvlgari (gents) b. One  wrist  watch Bvlgari (ladies),Watch,"Mian  Waheeduddin,  PSO to the Prime Minister",Gen. Musharraf,2004-06-14,107000.0,14550.0,Yes,Yes
682,A  Waterman  Paris Pen,Pen,"Brig. ®Mian Khalid Habib, Chief  of  Protocol,  Foreign Affairs",Military,2004-06-15,3200.0,0.0,Yes,Yes
683,One woolen carpet,Carpet,"Brig. ®Mian Khalid Habib, Chief  of  Protocol,  Foreign",Military,2004-06-15,5000.0,0.0,Yes,Yes
684,One  concord  wrist watch,Watch,"Admiral  (Retd.)  Abdul Aziz  Mirza,  Ambassador of Pakistan",Military,2004-06-21,15000.0,750.0,Yes,Yes
685,One  wrist  watch concord,Watch,"Lt.  Col.  M.  Samrez  Salik, APS(C)",Military,2004-06-23,15000.0,750.0,Yes,Yes
686,One  wrist  watch concord,Watch,"Maj.  Sher  Ali  Baz, Security Officer",Military,2004-06-23,15000.0,750.0,Yes,Yes
687,One  wrist  watch concord,Watch,"Maj.  Abdul  Basit,  Staff Surgeon to Chief of  Army Staff",Military,2004-06-24,15000.0,750.0,Yes,Yes
689,Water  Container (decoration piece),Decoration Pieces,"Col.  Salik  Nawaz,  Deputy Chief  of  Protocol,  Foreign Affairs",Military,2004-07-02,1800.0,0.0,Yes,Yes
690,One  wrist  watch Officina Del Tempo,Watch,"Mr.  Abdul  Hameed. Controller  News reporter, PBC",Media,2004-07-06,18000.0,1200.0,Yes,Yes
691,A  Waterman  Paris Pen,Pen,"Col.  Salik  Nawaz,  Deputy Chief  of  Protocol,  Foreign Affairs",Military,2004-07-12,3200.0,0.0,Yes,Yes
692,One woolen carpet,Carpet,Foreign Secretary,Bureaucracy,2004-07-14,5000.0,0.0,Yes,Yes
693,A  Waterman  Paris Pen,Pen,Foreign Secretary,Bureaucracy,2004-07-14,3200.0,0.0,Yes,Yes
694,a. One carpet b. One  picture frame c. One brass vas,Carpet,"General  Parvez Musharraf,  President  of Pakistan",Military,2004-07-22,42700.0,7365.0,Yes,Yes
695,a. One broach b. One plate c. One  crystal decoration block d. One bowl,Decoration Pieces,"General  Parvez Musharraf,  President  of Pakistan",Military,2004-07-22,7500.0,0.0,Yes,Yes
696,a. One  decoration piece b. One bowl crystal c. One bowl blue d. One  (printed cloth)  Crystal bowl,Decoration Pieces,"General  Parvez Musharraf,  President  of Pakistan",Military,2004-07-22,7300.0,0.0,Yes,Yes
697,Wrist Watch Roberge,Watch,"Admiral  ®  Abdul  Aziz Mirza,  Ambassador  of Pakistan in Saudi Arabia",Military,2004-07-25,25000.0,2250.0,Yes,Yes
698,a. Model  of  Masjid- e-Nabvi b. Holy  Quran  +  32 audio c. Piece of Ghulaf-e- Kabah d. MP-5 Gun,Weapons,"Ch.  Shujat  Hussain, Prime Minister of Pakistan",Gen. Musharraf,2004-07-26,200000.0,28500.0,Yes,Yes
699,a. One Carpet b. One Saree,Carpet,"Ch.  Shujat  Hussain, Prime Minister of Pakistan",Gen. Musharraf,2004-07-26,8500.0,0.0,Yes,Yes
701,Decoration piece,Decoration Pieces,"Ch.  Shujat  Hussain, Prime Minister of Pakistan",Gen. Musharraf,2004-07-26,8000.0,0.0,Yes,Yes
703,Wrist Watch Roberge,Watch,"Brig.  Tahir  Mahmud Malik,  Military  Secretary",Military,2004-07-27,25000.0,2250.0,Yes,Yes
705,Wrist Watch Roberge,Watch,"Muhammad  Saeed  Khan, Deputy  Chief  of  Protocol (V-I), Foreign Affairs",Military,2004-07-28,25000.0,2250.0,Yes,Yes
706,Six  Packet  of  Herbal Tea and a CD,Crockery,"Syed  Abrar  Hussain, Director (SAARC), Foreign Affairs",Gen. Musharraf,2004-07-31,900.0,0.0,Yes,Yes
709,Wrist Watch Roberge in steel 18kt Gold,Watch,"Mr.  Shuja  Shah,  Principal Secretary  to  the  Prime Minister",Bureaucracy,2004-08-03,35000.0,3750.0,Yes,Yes
711,One small carpet,Carpet,"Miss.  Rabbani  Khar, Parliamentary  Secretary, Economic Affairs Division",PPP,2004-08-10,1000.0,0.0,Yes,Yes
714,Mobile  Phone  NOKIA 6220,Phone,R/Admiral  Asaf Humanyun SI (M),Military,2004-08-11,0.0,525.0,Yes,Yes
715,Mobile  Phone  NOKIA 3100,Phone,"Cdr  M.  Qasim  Janjua,  SI (M)",Military,2004-08-11,7500.0,0.0,Yes,Yes
716,Mobile  Phone  NOKIA 3100,Phone,Captain Khalid Mahmood,Military,2004-08-11,7500.0,0.0,Yes,Yes
717,a. One Mobile Phone Motorola V291 b. One MP-3 Player,Phone,Lt.  Cdr  M.  Jahanzeb Ahsan PN,Military,2004-08-11,9700.0,0.0,Yes,Yes
718,Mobile  Phone (Motorola V290),Phone,Mr.  Kazim  Altaf  AM (Tech),Bureaucracy,2004-08-11,5000.0,0.0,Yes,Yes
719,Mobile  Phone (Motorola V290),Phone,Mr. Zahid Rizwan (Tech),Bureaucracy,2004-08-11,5000.0,0.0,Yes,Yes
720,Mobile  Phone (Motorola V290),Phone,Mr.  Muazam  Hayat  AM (Tech),Bureaucracy,2004-08-11,5000.0,0.0,Yes,Yes
721,Mobile  Phone (Motorola V290),Phone,"Mr.  Hasnain  Ali,  PN  AM (Tech)",Bureaucracy,2004-08-11,5000.0,0.0,Yes,Yes
722,Mobile  Phone (Motorola V290),Phone,Mr.  Aqeel  Rashad  AM (Tech),Bureaucracy,2004-08-11,5000.0,0.0,Yes,Yes
723,Mobile  Phone (Motorola V290),Phone,Mr.  Saqib  Mahmood  AM (Tech),Bureaucracy,2004-08-11,5000.0,0.0,Yes,Yes
724,Three Piece Tea Set,Crockery,"Mr. Shaukat Aziz, Finance Minister",Gen. Musharraf,2004-08-12,4000.0,0.0,Yes,Yes
725,One  Woolen  Carpet (6x4),Carpet,"Mr. Shaukat Aziz, Finance Minister",Gen. Musharraf,2004-08-12,7000.0,0.0,Yes,Yes
728,One decoration plate,Decoration Pieces,"Mr. Shaukat Aziz, Finance Minister",Gen. Musharraf,2004-08-12,2000.0,0.0,Yes,Yes
731,a. One  wrist  watch Bvlgari b. One  wrist  watch Bvlgari,Watch,"Maj  General  Shafatullah Shah,  Military  Secretary to President",Military,2004-08-25,85000.0,11250.0,Yes,Yes
732,a. One  wrist  watch Bvlgari (gents) b. One  Wrist  Watch Bvlgari  (ladies),Watch,"Mohammad  Ijaz-ul-Haq, Federal  Minister  for Religious Affairs",Gen. Musharraf,2004-08-26,85000.0,11250.0,Yes,Yes
736,A  wrist  watch Concord,Watch,"Col.  Salik  Nawaz,  DCVP, Foreign Affairs",Military,2004-09-11,30000.0,3000.0,Yes,Yes
737,One Wrist  Watch Chaumat,Watch,"Muhammad  Saeed  Khan, Deputy  Chief  of  Protocol, Foreign Affairs",Military,2004-09-13,30000.0,3000.0,Yes,Yes
738,One Ball Pen,Pen,"Mr.  Tanweer  Khalique, Protocol  Officer  (Admn  & Accounts)",Military,2004-09-14,1200.0,0.0,Yes,Yes
739,One Ball Pen,Pen,"Mohammad  Kurshid,  P.A to  Chief  of  Protocol, Foreign Affairs",Military,2004-09-14,1200.0,0.0,Yes,Yes
740,One  wrist  watch Concord,Watch,"Brig.  Tahir  Mahmud Malik,  Military  Secretary to the Prime Minister",Military,2004-09-14,30000.0,3000.0,Yes,Yes
741,One wrist watch Paul Picot,Watch,Wife  of  Brig.  Tahir Mahmud Malik,Military,2004-09-14,50000.0,6000.0,Yes,Yes
742,One  wrist  watch Concord,Watch,"Brig.  Azhar  Mahmood, Personal  Physician  to  the Prime Minister",Military,2004-09-14,30000.0,3000.0,Yes,Yes
743,One  wrist  watch Tissot,Watch,"Mr.  Pervaiz  Zahoor,  Chief Security  Officer  to  the Prime Minister",Military,2004-09-14,10000.0,0.0,Yes,Yes
744,One  wrist  watch,Watch,"Sqn.  Ldr.  Anwar  Karim,",Military,2004-09-14,30000.0,3000.0,Amount,Amount
745,One  wrist  watch Tissot,Watch,"Major  Arif  Aziz  Khan, Security officer",Military,2004-09-14,14000.0,600.0,Yes,Yes
746,A wrist watch Tissot,Watch,"Capt.  (Retd.)  Abdul Majeed Niazi,  PRO  to  the Prime Minister",Military,2004-09-14,10000.0,0.0,Yes,Yes
747,A wrist watch Tissot,Watch,"Mr.  M.  Hassan,  PS  to  the Prime Minister",Military,2004-09-14,10000.0,0.0,Yes,Yes
748,A wrist watch Tissot,Watch,"Mr.  Shahzad  Hussain LDC,  Prime  Minister Sectt.",Military,2004-09-14,10000.0,0.0,Yes,Yes
749,A wrist watch Tissot,Watch,"Mr.  Khalid  Nadeem, Inspector, Gunman",Police,2004-09-14,14000.0,600.0,Yes,Yes
750,A wrist watch Tissot,Watch,"Hav.  Abdul  Ghaffar,  SSG Gunman",Police,2004-09-14,14000.0,600.0,Yes,Yes
751,A wrist watch Tissot,Watch,"NK,  Sahib  Khan,  SSG Gunman",Military,2004-09-14,10000.0,0.0,Yes,Yes
752,A wrist watch Tissot,Watch,"H/C  Muhammad  Bashir, Gunman",Police,2004-09-14,5500.0,0.0,Yes,Yes
753,A wrist watch Tissot,Watch,"H/C Gulfraz Ali, Gunman",Police,2004-09-14,14000.0,0.0,Yes,Yes
754,A wrist watch Tissot,Watch,"Constable  Rab  Nawaz, Gunman",Police,2004-09-14,5500.0,0.0,Yes,Yes
755,A wrist watch Tissot,Watch,"Constable  Siraj  Khan, Gunman",Police,2004-09-14,10000.0,0.0,Yes,Yes
756,A wrist watch Tissot,Watch,"Sep.  Irfan  ul  Haq,  SSG, Gunman",Police,2004-09-14,5500.0,0.0,Yes,Yes
757,A wrist watch Trebor,Watch,"Constable  Miss.  Kalsoom Khan, Lady Gunman",Police,2004-09-14,45000.0,0.0,Yes,Yes
758,A wrist watch Trebor,Watch,"Constable  Miss.  Shahzad Begum, Lady Gunman",Police,2004-09-14,45000.0,0.0,Yes,Yes
759,A wrist watch Tissot,Watch,"Mr.  M.  Akram,  Nursing Assistant",Bureaucracy,2004-09-14,14000.0,0.0,Yes,Yes
761,a. A  gent’s  wrist watch Bvlgari b. A  ladies  wrist watch Bvlgari,Watch,"Mr.  Sheikh  Rasheed Ahmed,  Minister  for Information  and Broadcasting ",Gen. Musharraf,2004-09-14,85000.0,11250.0,Yes,Yes
762,a. A  wrist  watch gent’s Bvlgari b. a  ladies  wrist watch Bvlgari,Watch,"Mr.  Aftab  Ahmed  Khan Sherpao,  Minister  of Interior",Gen. Musharraf,2004-09-15,85000.0,11250.0,Yes,Yes
763,"Wrist  Watch  (Rado Florence,  Golden Chain)",Watch,"Shahid  Ali  Seehar, Protocol  Officer  (V-I), Foreign Affairs",Bureaucracy,2004-09-17,20000.0,1500.0,Yes,Yes
764,A wrist Watch Epos,Watch,"Brig.  Tahir  Mahmud Malik,  Military  Secretary to the Prime Minister",Military,2004-09-20,55000.0,6750.0,Yes,Yes
766,One  Tea  Set (ceramics),Crockery,"Mr.  Jahangir  Khan, Tareen,  Minister  for Industries,  Production and Special Initiatives",Gen. Musharraf,2004-09-20,1500.0,0.0,Auctioned,"Gift auctioned for Rs.3,911/-"
767,One  wall  hanging (decoration piece),Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen. Musharraf,2004-09-20,7500.0,0.0,Yes,Yes
769,One  wrist  watch Concord,Watch,"Mr.  Javed  Hafiz, Additional  Secretary,  M/o Foreign Affairs",Bureaucracy,2004-09-20,30000.0,3000.0,Yes,Yes
770,Wrist  watch  roles (DAYTONA),Watch,"General  Parvez Musharraf,  President  of Pakistan",Military,2004-09-21,725000.0,107250.0,Yes,Yes
771,A  Flower  Vase  in  a Wooden Case,Decoration Pieces,"Mr. Muhammad Ilyas Dar, Joint  Secretary  M/o Religious Affairs",Gen. Musharraf,2004-09-22,4000.0,0.0,Yes,Yes
773,a. One  wrist  watch Bvlgari b. One  wrist  watch Bvlgari,Watch,"Mr.  Habibullah  Waraich, Minister for defence",Gen. Musharraf,2004-09-27,85000.0,11250.0,Yes,Yes
774,One  wrist  watch Officina Del Tempo,Watch,"Mr.  Mohsin  Ali, photographer, PID",Media,2004-09-29,18000.0,1200.0,Yes,Yes
775,a. One wrist watch Bvlgari (gents) b. One wrist watch Bvlgari (ladies),Watch,"Mr.  Babar  Khan  Gauri, Federal  Minister  for  Ports and Shipping",Gen. Musharraf,2004-09-29,85000.0,11250.0,Yes,Yes
777,One bag with folder,Bags,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen. Musharraf,2004-09-29,1500.0,0.0,Yes,Yes
778,"Box containing, wrist watch,  ball  ponts box  of  gold  green pen, perfume Deep, Tashbih,  Key  Chain, telephone  index, higher  energy perfume",Watch,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen. Musharraf,2004-09-29,201700.0,28755.0,Yes,Yes
780,One  wrist  watch Tissot,Watch,"Mr.  Mohsin  Ali, Photographer, PID",Media,2004-09-29,14000.0,600.0,Yes,Yes
781,One  wrist  watch Officina Del Tempo,Watch,"Mr.  Rafaqat  Hussain, Engineer PTV",Media,2004-09-30,18000.0,1200.0,Yes,Yes
782,One  wrist  watch,Watch,"Mr.  Rafaqat  Hussain,",Media,2004-09-30,14000.0,600.0,Amount,Amount
783,One  wrist  watch Officina Del Tempo,Watch,"Ali Imran, Reporter, APP",Media,2004-10-06,18000.0,1200.0,Yes,Yes
785,Two cigarettes cases,Cigar/Cigarettes,"General  Parvez Musharraf,  President  of Pakistan",Military,2004-10-07,3500.0,0.0,Yes,Yes
786,One decoration piece,Decoration Pieces,"General  Parvez Musharraf,  President  of Pakistan",Military,2004-10-07,6500.0,0.0,Yes,Yes
789,One  wrist  watch Tissot,Watch,"Mr.  Saeed  Akhtar, Protocol  Assistant,  M/o Foreign Affairs",Military,2004-10-12,5500.0,0.0,Yes,Yes
790,a. One Music CD b. One  Ball  Point (Mont Blanc) with scarf c. One  Crystal Decoration Piece,Decoration Pieces,"Mr.  Jahangir  Khan, Tareen,  Minister  for Industries,  Production and Special Initiatives",Gen. Musharraf,2004-10-13,8060.0,0.0,Auctioned,"Gift auctioned a. for Rs.60/- b. for Rs.7,110/- c. for Rs.3,611/-"
791,Ball Pen,Pen,"Col.  Salik  Nawaz®, Deputy  Chief  of  Protocol, Foreign Affairs",Military,2004-10-14,1500.0,0.0,Yes,Yes
792,One  wrist  watch Concord,Watch,"Mr.  Riaz  H.  Khokhar, Foreign Secretary",Gen. Musharraf,2004-10-15,30000.0,3000.0,Yes,Yes
795,a. Wrist  watch Piaget b. Wrist  watch Chopard c. Four  bottles  of scent,Watch,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen. Musharraf,2004-10-19,503000.0,73950.0,Yes,Yes
796,Ceramic flower vase,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen. Musharraf,2004-10-19,650.0,0.0,Yes,Yes
797,One  wrist  watch Tissot,Watch,"Mr.  M.  Fayyaz  Chaudhry, Foreign  Editor,  APP, Islamabad",Media,2004-10-20,14000.0,600.0,Yes,Yes
799,One  concord  wrist watch,Watch,Mr.  Ali  Imran  Reporter APP,Media,2004-10-21,15000.0,750.0,Yes,Yes
801,Decoration piece,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen. Musharraf,2004-10-21,5500.0,0.0,Yes,Yes
802,a. One  Wrist  watch Bvlgari b. One  Wrist  watch Bvlgari,Watch,"Mr.  Hamid  Yar  Hiraj, Minister  for  State  for Commerce",Gen. Musharraf,2004-10-21,85000.0,11250.0,Yes,Yes
804,One  wrist  watch Officina Del Tempo,Watch,"Mr.  Muhammad  Younas Khan,  Chief  Cameraman, PTV",Media,2004-10-23,18000.0,1200.0,Yes,Yes
805,Wrist Watch Tissot,Watch,Mr.  Muhammad  Younas Khan  Chief  Cameraman PTV,Media,2004-10-23,5500.0,0.0,Yes,Yes
806,One  wrist  watch (Audmars  Piguet No.C-7467),Watch,"Brig.(R)  Mian  Khalid Habib,  Chief  of  Protocol, Foreign Affairs",Military,2004-10-24,375000.0,0.0,Auctioned,"Auctioned for Rs.161,000/-"
807,One  wrist  watch Tissot,Watch,"Mr.  Hassan  Syed, Reporter PTV",Media,2004-10-25,14000.0,600.0,Yes,Yes
809,One  wrist  watch Officina Del Tempo,Watch,"Mr.  Javed  Iqbal  Qureshi, Chief  News  Editor,  Urdu Service, APPC, Islamabad",Media,2004-10-26,18000.0,1200.0,Yes,Yes
810,One  wrist  watch Officina Del Tempo,Watch,"Mr.  Sohail  Nasir,  Photo- Editor, APPC, Islamabad",Media,2004-10-26,18000.0,1200.0,Yes,Yes
813,a. One  wrist  watch Bvlgari (gents) b. One  wrist  watch Bvlgari (ladies),Watch,"Mr.  Muhammad  Nasir Khan, Federal Minister for Health",Gen. Musharraf,2004-10-27,85000.0,11250.0,Yes,Yes
814,a. One  Wrist  watch Bvlgari b. One  Wrist  watch Bvlgari,Watch,"Ch.  Shabaz  Hussain, Minister  for  Population Welfare",Gen. Musharraf,2004-10-28,85000.0,11250.0,Yes,Yes
815,One  concord  wrist watch,Watch,"Col.  Baber  Mumtaz, Additional Security Officer to President",Military,2004-11-02,15000.0,750.0,Yes,Yes
816,a. One  wrist  watch Bvlgari (gents) b. One  wrist  watch Bvlgari (ladies),Watch,Minister  for  Housing  & Works,Gen. Musharraf,2004-11-04,85000.0,11250.0,Auctioned,"Gift auctioned a. for Rs.28,110/- b. for"
817,a. One  wrist  watch Bvlgari b. One  wrist  watch Bvlgari,Watch,"Senator  Tariq  Azim  Khan, Minister  of  State  for Overseas Pakistanis",Gen. Musharraf,2004-11-05,85000.0,11250.0,Yes,Yes
823,Two  caps  &  two bags,Bags,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen. Musharraf,2004-11-08,1200.0,0.0,Yes,Yes
825,Tea set 17 Pcs,Crockery,"Miss.  Hina  Rabbani  Khar, Minister  of  State  for Economic Affairs",PPP,2004-11-11,3000.0,0.0,Yes,Yes
829,a. A carpet b. A shawl,Carpet,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen. Musharraf,2004-11-20,5600.0,0.0,Yes,Yes
830,Carpet,Carpet,"General  Parvez Musharraf,  President  of Pakistan",Military,2004-11-22,22000.0,1800.0,Yes,Yes
831,a. One  wrist  watch Bvlgari (gents) b. One  wrist  watch Bvlgari (ladies),Watch,"Mr.  Rais  Munir  Ahmed, Ex-Minister  for  sports Culture & Youth",Gen. Musharraf,2004-11-22,85000.0,11250.0,Yes,Yes
833,Metallic Ash Tray decoration piece,Decoration Pieces,"Mr.  Abdul  Ghafoor  A. Memon,  Director,  Public Relation, PID, Karachi",Gen. Musharraf,2004-11-25,0.0,0.0,Retained but the gift was not deposited as per Procedure,Retained but the gift was not deposited as per Procedure
837,A decoration piece,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen. Musharraf,2004-11-29,1800.0,0.0,Yes,Yes
843,One  wrist  watch Tissot,Watch,"Mr.  Javed  Khan  Jadoon, Deputy,  Controller  News, PBC, Islamabad",Media,2004-12-04,10000.0,0.0,Yes,Yes
844,a. One  wrist  watch Bvlgari (gents) b. One  wrist  watch Bvlgari (ladies),Watch,"Mr.  Ashfaq  Ahmed Gondal,  Press  Secretary to the Prime Minister",Gen. Musharraf,2004-12-06,107000.0,14550.0,Yes,Yes
847,Pair of flower vase,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen. Musharraf,2004-12-06,10800.0,120.0,Yes,Yes
850,a. A necklace b. A shawl c. A  decoration piece d. Wall  hanging picture,Jewellery/Accessories,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen. Musharraf,2004-12-06,13400.0,510.0,Yes,Yes
859,a. A tea set b. A necklace set,Jewellery/Accessories,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen. Musharraf,2004-12-08,5510.0,0.0,Yes,Yes
860,A  glass  decoration piece,Decoration Pieces,"Mr.  Sikandar  Hayat  Khan Bosan,  Minister  Food, Agriculture & Livestock",Gen. Musharraf,2004-12-10,4500.0,0.0,Yes,Yes
864,a. An Umbrella b. Pair  of  decoration piece c. Small screen,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen. Musharraf,2004-12-13,1000.0,0.0,Yes,Yes
866,One decoration piece,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen. Musharraf,2004-12-13,1000.0,0.0,Yes,Yes
871,a. One  wrist  watch Bvlgari b. One  wrist  watch Bvlgari,Watch,"Mr.  Muhammad  Naseer Mengal,  Minister  for Petroleum  &  Natural Resources",Gen. Musharraf,2004-12-24,85000.0,11250.0,Yes,Yes
873,Two wrist watches,Watch,"Mr.  Mahmood  Salim Mahmood,  Secretary, National Assembly Sectt",Bureaucracy,2004-12-28,350.0,0.0,Yes,Yes
877,a. A  ceramic  flower vase b. One  decoration piece,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen. Musharraf,2004-12-28,3200.0,0.0,Yes,Yes
878,A decoration piece,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen. Musharraf,2004-12-28,500.0,0.0,Yes,Yes
879,a. Two  marble decoration pieces b. A  decoration piece (3 pcs) c. A  Ceramic decoration piece d. Replica of Horse e. Seven  pieces decoration set,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen. Musharraf,2004-12-28,20900.0,1635.0,Yes,Yes
880,a. Four books b. A  decoration piece c. Sunzi  the  art  of war d. A book e. A  crystal decoration piece,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen. Musharraf,2004-12-28,9000.0,0.0,Yes,Yes
885,a. One carpet b. One  polyester quilt c. One  quilt  with pillow d. One  set  cook wear e. One  brief  case leather,Carpet,"Mr.  Jahangir  Khan, Tareen,  Minister  for Industries,  Production and Special Initiatives",Gen. Musharraf,2004-12-29,9050.0,0.0,Auctioned,"Gift auctioned a. for Rs.2,500/- b. for Rs.3,311/- c. for Rs.1,372/- d. for Rs.771/- e. for Rs.3,199/-"
887,One  concord  wrist watch,Watch,Hav. Tariq Mehmood,Police,2004-12-31,15000.0,750.0,Yes,Yes
888,One  concord  wrist watch,Watch,Hav. Hakim Badshah,Police,2004-12-31,15000.0,750.0,Yes,Yes
889,One  Wrist  watch concord,Watch,"Mr.  Ehsanullah,  Special Envoy to President",Military,2005-12-01,40000.0,4500.0,Yes,Yes
890,One Wrist watch Hublot,Watch,"Mr.  Ehsanullah,  Special Envoy to President",Military,2005-12-01,58000.0,7200.0,Yes,Yes
891,A decoration Piece,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen. Musharraf,2005-09-03,2500.0,0.0,Yes,Yes
896,Five decoration pieces,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen. Musharraf,2005-09-03,25000.0,2250.0,Yes,Yes
898,a. A flower vase b. A wall hanging c. A calligraphy,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen. Musharraf,2005-09-03,3700.0,0.0,Yes,Yes
900,a. A Clay Mug b. One decoration Piece c. Object decorative,Decoration Pieces,"Mr.  Khalid  Saeed, Secretary,  Economic Affairs Division (EAD)",Bureaucracy,2005-10-04,250.0,0.0,Yes,Yes
902,a. One  Wrist  Watch concord (No.1046967) b. One  volet  (S.T Dupont) c. 05  Bottles  of Perfume d. One  Book  +  CD  United Arab Emirates (UAE)-2005) e. One  Ball  Point  S.T. Dupont f. One celluar phone (i- mate)  with accessories g. Three Neck ties (S.T. dupont) h. One axe i. One brief case,Watch,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen. Musharraf,2005-08-03,125100.0,17265.0,Yes,Yes
903,a. One  Wrist  Watch EBEL b. One  Wrist  Watch Candino Swiss,Watch,"General Saleem Hayat, NI (M)  Vice  Chief  of  Army Staff",Military,2005-06-02,46000.0,5400.0,Yes,Yes
904,"One  carpet  red,  blue, and Brown",Carpet,"Mr.  Khurshid  M.  Kasuri, Foreign Affairs Minister",Gen. Musharraf,2005-08-04,8000.0,0.0,Yes,Yes
905,One Pen Montegrappa,Pen,Mr.  Javed  Sadiq  Malik  PS to Prime Minister,Gen. Musharraf,2005-07-04,22000.0,0.0,Auctioned,"Auctioned for  Rs.16,600/-"
906,A  wooden  decoration piece,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen. Musharraf,2005-11-08,2000.0,0.0,Yes,Yes
909,A carpet,Carpet,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen. Musharraf,2005-11-08,18000.0,1200.0,Yes,Yes
912,A  decoration  piece  with wooden stand,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen. Musharraf,2005-09-07,3200.0,0.0,Yes,Yes
921,A small Bowl,Decoration Pieces,Major  Shahid  Ajmal  Raja Assistant  Security  Officer to Prime Minister,Military,2005-06-05,3000.0,0.0,Yes,Yes
